,logFC,logCPM,F,PValue,FDR
ENSMZEG00005021417,-3.89682558,3.326237619,61.26092868,7.59E-08,0.001329646
ENSMZEG00005027654,0.854232409,6.939868636,32.75988005,7.37E-06,0.038564127
ENSMZEG00005023664,-2.042460157,3.042615539,31.2695969,1.02E-05,0.038564127
ENSMZEG00005011946,1.185928733,4.512329314,31.17456343,1.04E-05,0.038564127
ENSMZEG00005026555,1.680307837,4.120471245,30.98168669,1.19E-05,0.038564127
ENSMZEG00005011573,-1.896796011,2.514309557,29.67189452,1.46E-05,0.038564127
ENSMZEG00005015133,1.340272191,6.604295376,29.02545767,1.74E-05,0.038564127
ENSMZEG00005014622,-1.900792207,3.546240556,29.05043176,1.82E-05,0.038564127
ENSMZEG00005025436,1.359130452,7.477348811,28.10024694,2.10E-05,0.038564127
ENSMZEG00005010919,-1.858100972,2.911711305,27.70466025,2.30E-05,0.038564127
ENSMZEG00005010021,-2.020415528,2.769025095,27.26172676,2.55E-05,0.038564127
ENSMZEG00005025166,1.391293376,4.847521539,27.52361846,2.64E-05,0.038564127
ENSMZEG00005013796,-2.228731129,3.59070134,26.90719375,3.42E-05,0.03967145
ENSMZEG00005023850,1.778489519,5.18566803,26.93672398,3.67E-05,0.03967145
ENSMZEG00005001338,-1.487809889,3.414740975,25.61313483,3.81E-05,0.03967145
ENSMZEG00005021163,1.512853964,4.809218898,26.09889602,3.93E-05,0.03967145
ENSMZEG00005026340,-2.688702912,0.907818753,25.46591901,3.95E-05,0.03967145
ENSMZEG00005017596,0.961330051,6.085960169,25.33738404,4.07E-05,0.03967145
ENSMZEG00005008984,-0.57598447,5.926828292,24.59640488,4.91E-05,0.045249671
ENSMZEG00005011660,-1.75629065,2.019127432,23.76134376,6.07E-05,0.047557881
ENSMZEG00005006965,-1.980960393,3.297727916,24.12272354,6.09E-05,0.047557881
ENSMZEG00005001862,1.176599664,5.175424789,23.88689624,6.12E-05,0.047557881
ENSMZEG00005026430,-0.967157136,5.32835344,23.65296538,6.24E-05,0.047557881
ENSMZEG00005025454,-1.894027147,1.872239788,23.35103716,6.75E-05,0.048337989
ENSMZEG00005019765,-1.656232341,2.563146875,23.2683424,6.90E-05,0.048337989
ENSMZEG00005007350,-1.656148078,2.632549425,22.79123232,7.81E-05,0.050326926
ENSMZEG00005026223,1.367667354,2.432169013,22.73263566,7.93E-05,0.050326926
ENSMZEG00005007753,0.826853623,6.503234237,22.6818615,8.04E-05,0.050326926
ENSMZEG00005005475,-1.718458155,2.825748511,22.42706017,8.60E-05,0.050525521
ENSMZEG00005002532,-2.260114464,2.573610311,22.55849726,8.85E-05,0.050525521
ENSMZEG00005019501,-1.757416716,1.5883132,22.28290757,8.94E-05,0.050525521
ENSMZEG00005013785,-1.484493053,2.72610943,21.97962752,9.69E-05,0.052500224
ENSMZEG00005023824,-1.680581461,3.569645627,22.13728032,0.000100196,0.052500224
ENSMZEG00005026550,-1.755293752,3.328625354,21.99786005,0.000102446,0.052500224
ENSMZEG00005005481,0.913536814,6.070249511,21.64678191,0.000106003,0.052500224
ENSMZEG00005009812,-1.991934374,4.665532254,22.57960895,0.000110207,0.052500224
