,logFC,logCPM,F,PValue,FDR
ENSMZEG00005012162,-1.854664801,2.732037113,28.7445314,1.80E-05,0.315506713
ENSMZEG00005013598,-1.699820406,2.608430732,16.87701059,0.000418689,1
ENSMZEG00005004561,-0.937597434,2.718039332,16.40772428,0.00048136,1
ENSMZEG00005015986,-4.014450437,0.801270497,14.57626635,0.000912962,1
ENSMZEG00005011638,2.036992247,0.501447932,14.36238941,0.000923321,1
ENSMZEG00005002451,4.021827598,0.52379733,14.30252914,0.000986162,1
ENSMZEG00005005562,3.48138936,0.157220427,14.11186508,0.001002728,1
ENSMZEG00005008033,-0.768384061,5.280766848,13.99051848,0.001043845,1
ENSMZEG00005024393,-1.835061409,1.032691677,13.48737285,0.001235083,1
ENSMZEG00005009749,-1.488099255,0.240194682,13.37099229,0.00128457,1
ENSMZEG00005022976,0.540338255,5.508968375,13.23931388,0.001343188,1
ENSMZEG00005011789,-4.114532321,2.206998002,13.25127474,0.001627845,1
ENSMZEG00005021195,-3.676123067,2.969386366,13.21145914,0.001655994,1
ENSMZEG00005007927,-0.612275855,5.676949007,11.62868376,0.002354515,1
ENSMZEG00005000567,-5.706641049,-1.204978903,11.9768652,0.002550894,1
ENSMZEG00005020934,-1.211676051,2.534052214,11.27712852,0.00267211,1
ENSMZEG00005024265,-2.114410894,3.225096974,11.48723602,0.002819947,1
ENSMZEG00005013308,2.637185235,-0.658643157,11.09454243,0.00285533,1
ENSMZEG00005002202,-1.09007526,4.78606785,11.26754375,0.002881316,1
ENSMZEG00005027375,1.092008355,2.260013442,11.04793376,0.002904274,1
ENSMZEG00005021338,0.511638249,3.31226669,10.76291322,0.003224311,1
ENSMZEG00005022938,0.938475005,4.345086292,10.6697559,0.003437629,1
ENSMZEG00005004387,-2.00307589,0.865302125,10.5721687,0.003459983,1
ENSMZEG00005005888,-0.72174221,4.236516489,10.52659399,0.003519045,1
ENSMZEG00005014476,-3.591764019,-0.008119895,10.41366539,0.003670208,1
ENSMZEG00005020316,0.464012079,4.146247339,10.33328797,0.00378213,1
ENSMZEG00005006987,1.101846422,1.801054686,10.20797228,0.003964162,1
ENSMZEG00005024190,-0.768123266,4.096649792,10.04789597,0.004210796,1
ENSMZEG00005013719,1.149548215,1.947802856,10.02023278,0.004255098,1
ENSMZEG00005027274,-0.41838712,4.998338075,10.00587681,0.004278291,1
ENSMZEG00005017109,-1.779391618,2.684942657,10.09874648,0.004408009,1
ENSMZEG00005022204,-3.815338492,-0.465366272,10.3570376,0.004429306,1
ENSMZEG00005004795,1.384212414,1.737141243,9.663373478,0.004874866,1
ENSMZEG00005000212,1.878238846,1.188507625,9.404180708,0.005387021,1
ENSMZEG00005008076,-1.016864412,3.127563029,9.311076433,0.005585181,1
ENSMZEG00005010893,0.672081142,3.067371738,9.130052514,0.005993782,1
ENSMZEG00005019954,0.594404066,2.924225437,9.066330528,0.006145337,1
ENSMZEG00005017819,-1.137614174,2.00096263,9.059600312,0.006161588,1
ENSMZEG00005017597,-3.507422685,-1.041866175,9.00301143,0.006300115,1
ENSMZEG00005019997,-1.441241158,1.082752441,8.993434814,0.006323894,1
ENSMZEG00005008386,-0.519388426,3.801945619,8.911126031,0.006532392,1
ENSMZEG00005003257,-0.580908818,3.147781554,8.808119733,0.006804031,1
ENSMZEG00005000176,-1.159548924,4.142532828,8.915642029,0.006935663,1
ENSMZEG00005000165,-1.461362392,1.321631487,8.703679727,0.007092185,1
ENSMZEG00005025849,-2.651790901,-0.964355731,8.663329752,0.007207084,1
ENSMZEG00005002736,0.342332098,4.354740426,8.622868839,0.007324357,1
ENSMZEG00005025659,-2.779844549,-0.67802478,8.474885064,0.007771498,1
ENSMZEG00005026614,-2.155889181,0.597413413,8.403453499,0.007998011,1
ENSMZEG00005023040,1.215169906,1.97076479,8.264308249,0.008460401,1
ENSMZEG00005003033,-2.069755431,0.21584612,8.189432704,0.008721339,1
ENSMZEG00005001542,1.168123088,1.236468779,8.176585861,0.008766994,1
ENSMZEG00005007068,-0.487096383,5.031095769,8.118309469,0.008977426,1
ENSMZEG00005016617,0.3927377,4.155849899,8.047555994,0.009240424,1
ENSMZEG00005011649,-0.321821206,6.022458767,7.997472008,0.009431719,1
ENSMZEG00005004110,-1.064602951,4.68845894,8.144864638,0.009444349,1
ENSMZEG00005021390,2.035293779,0.072538533,7.969739691,0.009539515,1
ENSMZEG00005019286,-1.343447238,3.193833676,8.03547417,0.009715604,1
ENSMZEG00005003129,-3.345649919,0.703934975,8.017311552,0.009778623,1
ENSMZEG00005020620,-2.142909901,0.974961634,7.910488054,0.009820436,1
ENSMZEG00005024744,-0.708513878,7.393079541,7.895189971,0.009836084,1
ENSMZEG00005024326,-0.517565947,5.834856917,7.86735367,0.009949413,1
ENSMZEG00005005085,0.472655333,4.15751247,7.851263312,0.010015578,1
ENSMZEG00005011433,0.670478796,3.945552237,7.812733943,0.010175992,1
ENSMZEG00005020783,3.61841925,-0.843836714,8.141385767,0.010381152,1
ENSMZEG00005010063,1.094048145,1.48464406,7.715459981,0.010593734,1
ENSMZEG00005012381,-0.448308521,4.869279907,7.693813672,0.010689244,1
ENSMZEG00005011502,-0.577368512,4.454713107,7.683257337,0.010736166,1
ENSMZEG00005003884,-0.480310003,5.123237474,7.643041724,0.010917013,1
ENSMZEG00005002260,-0.565903501,5.730287627,7.625997782,0.01099467,1
ENSMZEG00005013006,0.438518239,3.606982583,7.577982479,0.011216737,1
ENSMZEG00005003336,-1.649681264,-0.637612424,7.562384414,0.011289938,1
ENSMZEG00005007543,0.72718031,1.858702678,7.550368645,0.011346687,1
ENSMZEG00005010047,-1.071526248,1.2947409,7.527730927,0.011454459,1
ENSMZEG00005022682,0.774654523,2.187334495,7.470827882,0.011730382,1
ENSMZEG00005023077,1.984172221,-0.819153439,7.431413846,0.011925798,1
ENSMZEG00005017847,-6.161942904,-0.283060144,7.712627112,0.012255433,1
ENSMZEG00005017144,1.003706488,0.818348564,7.358401258,0.012297363,1
ENSMZEG00005019497,1.428857218,0.677181978,7.353865153,0.012320865,1
ENSMZEG00005019494,-0.29320792,8.266070311,7.342620317,0.012379342,1
ENSMZEG00005003012,0.509333019,4.137252187,7.312177487,0.012539196,1
ENSMZEG00005003215,0.934043348,1.24056816,7.301547099,0.012595552,1
ENSMZEG00005003251,2.509139193,0.593362338,7.320956089,0.012657306,1
ENSMZEG00005021434,0.293504848,6.044922536,7.28814665,0.012666992,1
ENSMZEG00005008755,0.730766092,2.033580836,7.267664192,0.012777054,1
ENSMZEG00005027718,0.95338195,2.792668234,7.252600027,0.012858675,1
ENSMZEG00005001716,-0.359831764,4.807285147,7.180064303,0.013259837,1
ENSMZEG00005017011,0.3153823,4.949139532,7.165854982,0.013340031,1
ENSMZEG00005027857,2.388228848,-0.416566679,7.130462304,0.013542119,1
ENSMZEG00005001297,3.160920356,-0.737401105,7.075511759,0.013862617,1
ENSMZEG00005001115,0.743074807,4.528332199,7.091485765,0.014004887,1
ENSMZEG00005014483,1.482778344,0.234555122,7.048966477,0.014020438,1
ENSMZEG00005011598,-0.442995628,4.392241199,7.024683278,0.014166551,1
ENSMZEG00005010384,0.794822706,1.895656982,7.014914485,0.014225805,1
ENSMZEG00005004921,-1.128971458,0.571629039,7.007896165,0.014268544,1
ENSMZEG00005009389,-1.542511152,1.506517561,7.000025089,0.014324158,1
ENSMZEG00005007486,2.01110827,-0.276736065,6.988649641,0.01438648,1
ENSMZEG00005001170,-0.534436103,3.003789491,6.97245164,0.014486571,1
ENSMZEG00005019740,0.491155493,5.802957519,6.947210313,0.014644081,1
ENSMZEG00005008099,-0.909568599,2.014683142,6.905679872,0.014907377,1
ENSMZEG00005007345,0.421277576,3.498540047,6.89434694,0.014980132,1
ENSMZEG00005013253,0.919934493,1.304125838,6.88111284,0.01506559,1
ENSMZEG00005025708,4.832123589,-0.707658639,6.864505228,0.015285129,1
ENSMZEG00005017555,5.443221772,0.479776608,7.265500871,0.015349338,1
