,logFC,logCPM,F,PValue,FDR
ENSMZEG00005014310,-3.029418612,5.174559854,363.342939,9.06E-16,1.59E-11
ENSMZEG00005003951,9.797173926,2.99933254,325.423245,3.05E-15,2.67E-11
ENSMZEG00005014416,-8.985861261,2.359565497,241.3588483,7.79E-14,4.55E-10
ENSMZEG00005004119,10.59521997,3.557227108,221.8914021,4.49E-13,1.97E-09
ENSMZEG00005000270,8.480903024,1.649425407,199.5248662,5.89E-13,2.06E-09
ENSMZEG00005012890,6.592613112,4.396684378,218.417147,7.16E-13,2.09E-09
ENSMZEG00005013304,-8.277668932,4.01365555,206.1990738,9.72E-13,2.42E-09
ENSMZEG00005002974,-3.304298658,4.45479232,187.9115674,1.11E-12,2.42E-09
ENSMZEG00005010926,-9.510932629,2.727657943,182.8313244,1.47E-12,2.76E-09
ENSMZEG00005003113,-6.457273989,3.733722965,189.4074812,1.57E-12,2.76E-09
ENSMZEG00005016544,7.284142997,2.896794222,174.9309021,2.66E-12,4.01E-09
ENSMZEG00005016819,-2.112760902,7.567052376,172.1939317,2.75E-12,4.01E-09
ENSMZEG00005017841,6.804820298,5.289995623,181.5077851,9.86E-12,1.33E-08
ENSMZEG00005026701,-9.952330165,1.818675797,193.9074608,1.44E-11,1.81E-08
ENSMZEG00005002433,-4.082941987,6.853276333,143.9843208,2.91E-11,3.40E-08
ENSMZEG00005014413,-5.460713864,2.249206648,135.7576244,3.12E-11,3.42E-08
ENSMZEG00005018636,7.925535687,1.267217991,170.7424144,4.44E-11,4.57E-08
ENSMZEG00005014899,2.963276149,3.735613786,114.7208758,1.66E-10,1.62E-07
ENSMZEG00005022277,5.175899766,8.369844859,121.489997,3.06E-10,2.82E-07
ENSMZEG00005001637,3.020135201,3.169490715,92.22465212,1.36E-09,1.19E-06
ENSMZEG00005010884,-10.08967414,2.030153645,180.4950001,1.48E-09,1.21E-06
ENSMZEG00005005524,-4.254563519,2.834731245,91.13417474,1.52E-09,1.21E-06
ENSMZEG00005008861,-1.671415263,4.110412972,89.87782474,1.73E-09,1.32E-06
ENSMZEG00005000819,4.714752774,2.984345532,91.46009102,2.06E-09,1.50E-06
ENSMZEG00005027742,8.457236876,0.504678816,114.3421876,2.44E-09,1.70E-06
ENSMZEG00005001368,5.29625918,3.255331568,92.62076413,2.53E-09,1.70E-06
ENSMZEG00005006159,6.818102461,1.606767512,84.74908811,3.00E-09,1.95E-06
ENSMZEG00005020934,-3.783118585,2.534052214,81.52559068,4.29E-09,2.68E-06
ENSMZEG00005006369,1.861468525,4.219680482,81.06848443,4.52E-09,2.73E-06
ENSMZEG00005027486,-1.631356906,6.368714112,80.38482538,4.88E-09,2.85E-06
ENSMZEG00005021417,-4.526838181,3.326237619,80.07274066,7.63E-09,4.31E-06
ENSMZEG00005007274,-1.624919931,5.990710494,75.90411635,8.23E-09,4.51E-06
ENSMZEG00005025677,2.240009719,5.246307785,76.6965348,9.32E-09,4.95E-06
ENSMZEG00005010462,-1.984434583,4.551400161,74.40978089,9.86E-09,5.08E-06
ENSMZEG00005022059,-7.114049849,0.951189981,73.63202541,1.08E-08,5.43E-06
ENSMZEG00005000207,1.455219955,5.473148622,73.16491201,1.15E-08,5.47E-06
ENSMZEG00005011678,2.47421931,3.542913761,73.11676318,1.15E-08,5.47E-06
ENSMZEG00005018387,-6.2141813,1.462506912,72.81497354,1.20E-08,5.52E-06
ENSMZEG00005018338,3.055433647,3.080123913,66.61942252,2.69E-08,1.21E-05
ENSMZEG00005014061,3.128614478,1.81696461,65.6770422,2.99E-08,1.31E-05
ENSMZEG00005013125,-1.016360211,6.241993519,64.38089382,3.56E-08,1.50E-05
ENSMZEG00005023284,-1.544567702,5.80222993,64.32358677,3.59E-08,1.50E-05
ENSMZEG00005004902,-2.342247825,2.681534318,63.86713288,3.81E-08,1.55E-05
ENSMZEG00005002409,-1.61007804,6.535900055,63.52711143,4.00E-08,1.59E-05
ENSMZEG00005021838,7.921807788,2.695969178,68.08070689,4.56E-08,1.75E-05
ENSMZEG00005026065,6.220811994,0.269401337,62.50845886,4.60E-08,1.75E-05
ENSMZEG00005027361,1.326639255,5.187587973,61.1677763,5.54E-08,2.07E-05
ENSMZEG00005001632,8.91475428,1.186697812,75.92761993,5.87E-08,2.14E-05
ENSMZEG00005017052,-2.409477695,4.741869921,62.64105901,6.09E-08,2.18E-05
ENSMZEG00005005965,3.924122378,1.442857563,59.06534088,7.47E-08,2.62E-05
ENSMZEG00005011605,-1.172399953,4.774656662,58.76536661,7.81E-08,2.68E-05
ENSMZEG00005026795,-1.948151873,4.612888735,58.24324654,8.61E-08,2.90E-05
ENSMZEG00005026369,-2.789142004,2.014682582,56.64747306,1.06E-07,3.48E-05
ENSMZEG00005027737,6.551423866,-0.382575617,66.37236224,1.08E-07,3.48E-05
ENSMZEG00005025643,1.74073247,7.397440931,56.46922826,1.09E-07,3.48E-05
ENSMZEG00005002804,1.411918975,3.593698466,56.06680819,1.16E-07,3.63E-05
ENSMZEG00005011275,6.115988755,3.012358389,61.30559209,1.22E-07,3.76E-05
ENSMZEG00005026963,1.36265911,4.955927856,55.56629486,1.25E-07,3.78E-05
ENSMZEG00005001280,4.707764436,2.41383421,56.94315333,1.37E-07,4.06E-05
ENSMZEG00005019870,-8.741141869,1.034553844,87.32008563,1.67E-07,4.86E-05
ENSMZEG00005003513,5.836520659,0.530842042,53.59868068,1.69E-07,4.86E-05
ENSMZEG00005010150,7.140261742,5.758879554,61.56421647,1.82E-07,5.14E-05
ENSMZEG00005022984,5.560212519,0.254833818,52.53230296,2.00E-07,5.54E-05
ENSMZEG00005019754,2.529759858,4.208034839,54.64962353,2.02E-07,5.54E-05
ENSMZEG00005023559,3.364351484,3.19979199,53.86503331,2.21E-07,5.90E-05
ENSMZEG00005001142,2.437596972,2.784513989,51.83776088,2.23E-07,5.90E-05
