,logFC,logCPM,F,PValue,FDR
ENSMZEG00005014310,-3.058368365,5.174559854,426.78938,1.52E-16,2.67E-12
ENSMZEG00005003951,9.776302063,2.99933254,330.3404009,2.58E-15,2.26E-11
ENSMZEG00005014416,-8.539649415,2.359565497,282.5345914,1.42E-14,8.32E-11
ENSMZEG00005013304,-9.279687151,4.01365555,259.3467032,9.39E-14,4.07E-10
ENSMZEG00005016819,-2.312982007,7.567052376,232.5100972,1.16E-13,4.07E-10
ENSMZEG00005002974,-3.396305753,4.45479232,227.9465412,1.44E-13,4.19E-10
ENSMZEG00005010926,-9.038620105,2.727657943,213.7145116,2.85E-13,6.71E-10
ENSMZEG00005003113,-6.385705672,3.733722965,222.0229809,3.06E-13,6.71E-10
ENSMZEG00005012890,6.726998722,4.396684378,231.0144788,4.08E-13,7.95E-10
ENSMZEG00005000270,8.327376655,1.649425407,196.053815,7.09E-13,1.24E-09
ENSMZEG00005004119,10.11521334,3.557227108,203.9504193,1.06E-12,1.68E-09
ENSMZEG00005016544,7.076432938,2.896794222,169.4660604,3.69E-12,5.39E-09
ENSMZEG00005026701,-8.07244364,1.818675797,211.5031802,6.66E-12,8.70E-09
ENSMZEG00005017841,6.878819246,5.289995623,188.3980947,6.95E-12,8.70E-09
ENSMZEG00005014413,-5.184307147,2.249206648,151.6913286,1.01E-11,1.18E-08
ENSMZEG00005002433,-3.820191914,6.853276333,151.0858258,1.81E-11,1.98E-08
ENSMZEG00005014899,3.247749838,3.735613786,141.6318253,2.03E-11,2.10E-08
ENSMZEG00005008861,-1.984064876,4.110412972,140.2577899,2.25E-11,2.19E-08
ENSMZEG00005018636,8.087366138,1.267217991,182.142727,2.51E-11,2.32E-08
ENSMZEG00005011678,3.232320784,3.542913761,125.7715516,6.70E-11,5.87E-08
ENSMZEG00005027486,-1.885141896,6.368714112,119.7529753,1.09E-10,9.09E-08
ENSMZEG00005004561,-2.44650434,2.718039332,110.2122746,2.46E-10,1.96E-07
ENSMZEG00005006159,7.512983502,1.606767512,105.2405914,3.85E-10,2.84E-07
ENSMZEG00005005524,-4.20260528,2.834731245,105.137881,3.89E-10,2.84E-07
ENSMZEG00005018387,-8.371157995,1.462506912,104.3852146,4.17E-10,2.92E-07
ENSMZEG00005006369,2.055445434,4.219680482,103.9059945,4.35E-10,2.94E-07
ENSMZEG00005010884,-10.08967414,2.030153645,214.677801,4.58E-10,2.97E-07
ENSMZEG00005025677,2.593299033,5.246307785,106.0090033,4.75E-10,2.97E-07
ENSMZEG00005001368,5.759051929,3.255331568,110.1158584,5.25E-10,3.17E-07
ENSMZEG00005002409,-1.909780863,6.535900055,99.42266229,6.65E-10,3.89E-07
ENSMZEG00005022277,4.772345195,8.369844859,109.9223403,7.55E-10,4.27E-07
ENSMZEG00005024522,-2.348632309,8.457742185,95.03909765,1.02E-09,5.60E-07
ENSMZEG00005010462,-2.084145437,4.551400161,92.95190957,1.26E-09,6.70E-07
ENSMZEG00005022506,-2.609392646,6.979233609,92.5045201,1.61E-09,8.31E-07
ENSMZEG00005012195,-2.981038463,7.461727582,92.47252409,1.86E-09,9.29E-07
ENSMZEG00005027742,8.444110648,0.504678816,116.5722025,2.09E-09,1.02E-06
ENSMZEG00005022059,-7.246414727,0.951189981,87.56666531,2.21E-09,1.05E-06
ENSMZEG00005000207,1.535696456,5.473148622,86.76639842,2.41E-09,1.11E-06
ENSMZEG00005000851,-1.305776347,5.168155606,84.72009674,3.01E-09,1.32E-06
ENSMZEG00005000819,4.521059602,2.984345532,87.70291298,3.01E-09,1.32E-06
ENSMZEG00005017052,-2.702711689,4.741869921,87.74582846,3.22E-09,1.35E-06
ENSMZEG00005001451,-1.148657935,7.25879328,84.01993442,3.25E-09,1.35E-06
ENSMZEG00005025436,-2.334943343,7.477348811,83.61989127,3.43E-09,1.40E-06
ENSMZEG00005002640,1.156620787,5.407249939,82.73943985,3.74E-09,1.49E-06
ENSMZEG00005018792,-1.519947662,4.652022535,82.30520872,3.93E-09,1.53E-06
ENSMZEG00005020934,-3.434082892,2.534052214,81.86729659,4.13E-09,1.57E-06
ENSMZEG00005002933,-1.548863066,6.310403346,80.58400525,4.77E-09,1.78E-06
ENSMZEG00005027654,-1.296429868,6.939868636,80.19947191,4.99E-09,1.82E-06
ENSMZEG00005027361,1.462760833,5.187587973,79.22463682,5.58E-09,1.99E-06
ENSMZEG00005017109,-6.701670906,2.684942657,85.40854646,5.68E-09,1.99E-06
ENSMZEG00005014061,3.362561516,1.81696461,78.34532716,6.18E-09,2.12E-06
ENSMZEG00005026555,-2.664354047,4.120471245,79.61079474,6.64E-09,2.24E-06
ENSMZEG00005011605,-1.268618702,4.774656662,77.06711682,7.17E-09,2.37E-06
ENSMZEG00005006884,-7.804094927,4.11826038,90.22885473,7.39E-09,2.40E-06
ENSMZEG00005021838,8.667630625,2.695969178,83.49228439,8.22E-09,2.62E-06
ENSMZEG00005014128,-1.567008351,4.79072812,74.99764178,9.18E-09,2.87E-06
ENSMZEG00005001142,2.885586616,2.784513989,74.79870156,9.40E-09,2.89E-06
ENSMZEG00005004902,-2.336356209,2.681534318,73.22074007,1.14E-08,3.44E-06
ENSMZEG00005015939,1.425183563,4.292480549,72.23309709,1.29E-08,3.82E-06
ENSMZEG00005010021,3.270032482,2.769025095,71.87133213,1.35E-08,3.93E-06
ENSMZEG00005026507,-2.929423546,6.008300515,77.15288899,1.41E-08,4.05E-06
ENSMZEG00005018338,3.087096322,3.080123913,70.94950252,1.54E-08,4.36E-06
ENSMZEG00005026158,-1.135995882,6.080438806,70.43235812,1.61E-08,4.49E-06
ENSMZEG00005001632,9.357962665,1.186697812,86.5056711,2.18E-08,5.97E-06
ENSMZEG00005017363,2.387499364,5.036992215,70.42353013,2.40E-08,6.46E-06
ENSMZEG00005014689,-1.428680368,4.883997154,66.54657385,2.66E-08,7.07E-06
ENSMZEG00005013162,1.236425371,4.230942031,66.42008904,2.71E-08,7.09E-06
ENSMZEG00005001338,2.323168081,3.414740975,66.05737352,2.84E-08,7.32E-06
ENSMZEG00005026065,6.285227305,0.269401337,65.51780462,3.05E-08,7.65E-06
ENSMZEG00005011946,-1.671481302,4.512329314,65.51253632,3.06E-08,7.65E-06
ENSMZEG00005007274,-1.403855027,5.990710494,65.20010396,3.19E-08,7.86E-06
ENSMZEG00005021452,1.438694831,4.999256197,64.81171355,3.36E-08,8.17E-06
ENSMZEG00005019501,2.984757833,1.5883132,64.60501618,3.45E-08,8.29E-06
ENSMZEG00005002804,1.46498102,3.593698466,64.50043513,3.50E-08,8.29E-06
ENSMZEG00005023559,3.701083457,3.19979199,66.5723121,3.86E-08,8.96E-06
ENSMZEG00005024465,-1.271489209,5.986479451,63.73239959,3.89E-08,8.96E-06
ENSMZEG00005017596,-1.479847344,6.085960169,63.48898669,4.02E-08,9.14E-06
ENSMZEG00005014622,2.766753387,3.546240556,64.76477271,4.07E-08,9.15E-06
ENSMZEG00005026795,-1.891630554,4.612888735,62.89128492,4.47E-08,9.83E-06
ENSMZEG00005004981,1.359647998,3.228943841,62.68101416,4.49E-08,9.83E-06
ENSMZEG00005004281,-3.147157981,4.954602376,68.5565104,4.68E-08,1.00E-05
ENSMZEG00005008983,1.087106666,4.68706662,62.35970997,4.69E-08,1.00E-05
ENSMZEG00005002701,-1.082350846,5.075037583,62.13287476,4.84E-08,1.02E-05
ENSMZEG00005019150,-1.065873127,6.084909816,61.86835754,5.02E-08,1.04E-05
ENSMZEG00005010360,-2.83466965,3.900718496,64.20286423,5.07E-08,1.04E-05
ENSMZEG00005024445,-1.497631373,4.193408163,61.76373126,5.10E-08,1.04E-05
ENSMZEG00005019953,-0.921030404,7.072339523,61.64904551,5.18E-08,1.04E-05
ENSMZEG00005019870,-8.741141869,1.034553844,103.7223409,5.61E-08,1.11E-05
ENSMZEG00005017584,1.667200313,4.447346541,61.04567907,5.64E-08,1.11E-05
ENSMZEG00005011275,6.333157066,3.012358389,66.85806564,6.12E-08,1.19E-05
ENSMZEG00005016050,3.13492691,4.804057605,66.04118689,6.39E-08,1.23E-05
ENSMZEG00005019593,1.353894551,6.966080262,59.80302273,6.72E-08,1.27E-05
ENSMZEG00005014652,-6.08101912,5.155831584,69.00814602,6.80E-08,1.27E-05
ENSMZEG00005004648,3.117187111,3.446939301,61.76259312,6.87E-08,1.27E-05
ENSMZEG00005002187,-1.858780069,6.756015096,59.76425958,6.89E-08,1.27E-05
ENSMZEG00005010015,-0.817093343,5.397396751,59.24213484,7.29E-08,1.33E-05
ENSMZEG00005001280,4.818322842,2.41383421,61.29206505,7.46E-08,1.35E-05
ENSMZEG00005000757,-1.174071654,5.601610764,58.74788529,7.83E-08,1.40E-05
ENSMZEG00005018690,-1.246378566,4.131544182,58.3639044,8.27E-08,1.45E-05
ENSMZEG00005023824,2.71420951,3.569645627,59.86652668,8.29E-08,1.45E-05
ENSMZEG00005005591,-1.01563195,4.706043925,58.24291531,8.42E-08,1.46E-05
ENSMZEG00005005023,-1.068737834,5.335023611,58.00983395,8.71E-08,1.49E-05
ENSMZEG00005019606,-1.851319992,2.732166738,57.99313847,8.73E-08,1.49E-05
ENSMZEG00005005531,-2.892596701,6.750449071,62.3380886,8.94E-08,1.51E-05
ENSMZEG00005006449,-1.762033361,6.595086623,57.57900084,9.34E-08,1.56E-05
ENSMZEG00005021026,1.924533103,4.747976508,58.26416022,9.69E-08,1.58E-05
ENSMZEG00005022042,-1.392055548,7.866946698,57.28242178,9.69E-08,1.58E-05
ENSMZEG00005005882,1.563121476,5.515647101,57.1725686,9.85E-08,1.58E-05
ENSMZEG00005014190,-1.692059908,9.331157453,57.17207462,9.85E-08,1.58E-05
ENSMZEG00005022404,-1.479748756,8.830694981,57.13313993,9.91E-08,1.58E-05
ENSMZEG00005010150,7.403592038,5.758879554,66.35308387,1.03E-07,1.63E-05
ENSMZEG00005026243,-2.22069626,5.148371742,59.27630162,1.08E-07,1.69E-05
ENSMZEG00005011656,1.884052202,2.772843107,56.08473498,1.16E-07,1.80E-05
ENSMZEG00005004761,-2.309262839,7.16555263,57.90400661,1.17E-07,1.80E-05
