,logFC,logCPM,F,PValue,FDR
ENSMZEG00005014310,-3.007996073,5.174542574,813.3844446,8.97E-21,1.57E-16
ENSMZEG00005003951,9.397555292,2.999362517,645.2420799,1.53E-19,1.34E-15
ENSMZEG00005014416,-8.694503537,2.359446171,550.9922302,1.04E-18,6.10E-15
ENSMZEG00005013304,-8.849790508,4.013608515,484.5920409,1.64E-17,7.19E-14
ENSMZEG00005003113,-6.392614798,3.733677257,436.438799,2.70E-17,8.41E-14
ENSMZEG00005026701,-8.507928119,1.818454431,418.4286155,2.88E-17,8.41E-14
ENSMZEG00005018636,8.488056804,1.267370246,402.2622081,4.61E-17,1.16E-13
ENSMZEG00005016819,-2.204376032,7.567049672,394.8987782,5.75E-17,1.26E-13
ENSMZEG00005010926,-9.057301929,2.727537619,385.8739571,7.58E-17,1.48E-13
ENSMZEG00005000270,8.007520423,1.64940748,381.2693737,8.74E-17,1.53E-13
ENSMZEG00005002974,-3.215422837,4.454768797,371.8096588,1.18E-16,1.88E-13
ENSMZEG00005004119,9.954632583,3.557256518,395.5551517,1.71E-16,2.49E-13
ENSMZEG00005016544,7.569218253,2.896839907,338.6479966,4.28E-16,5.77E-13
ENSMZEG00005017841,7.093577723,5.290008055,371.7132114,1.35E-15,1.69E-12
ENSMZEG00005012890,6.056856972,4.396705975,335.4524568,2.13E-15,2.49E-12
ENSMZEG00005014413,-5.204643699,2.249115008,286.614734,2.53E-15,2.77E-12
ENSMZEG00005002433,-4.189663956,6.853268551,295.5743259,4.51E-15,4.65E-12
ENSMZEG00005027742,7.681755229,0.504875993,255.7659727,9.50E-15,9.25E-12
ENSMZEG00005014899,3.065321513,3.735628957,240.3457846,1.95E-14,1.80E-11
ENSMZEG00005005524,-4.402476176,2.834686482,214.7634065,7.05E-14,6.18E-11
ENSMZEG00005008861,-1.839913321,4.110391028,213.3431208,7.61E-14,6.35E-11
ENSMZEG00005022277,5.040959416,8.369847772,227.2552143,1.82E-13,1.45E-10
ENSMZEG00005027486,-1.756182291,6.36871052,191.469175,2.58E-13,1.97E-10
ENSMZEG00005006369,1.996594528,4.219692164,187.7662909,3.22E-13,2.31E-10
ENSMZEG00005001632,8.396437605,1.186764918,187.3382696,3.30E-13,2.31E-10
ENSMZEG00005001368,5.629757248,3.255426841,200.8757192,3.87E-13,2.61E-10
ENSMZEG00005006159,7.212813247,1.606981821,180.7197807,4.93E-13,3.20E-10
ENSMZEG00005010462,-2.060496465,4.551377791,179.1020398,5.46E-13,3.41E-10
ENSMZEG00005022059,-7.589656217,0.950931439,174.9173349,7.10E-13,4.29E-10
ENSMZEG00005000207,1.577057131,5.473150966,172.2752927,8.41E-13,4.91E-10
ENSMZEG00005025677,2.453947644,5.246316005,175.3098289,9.90E-13,5.60E-10
ENSMZEG00005000819,4.492405949,2.984419656,171.6390423,1.32E-12,7.22E-10
ENSMZEG00005010884,-10.04151252,2.030061873,414.305937,1.64E-12,8.71E-10
ENSMZEG00005002409,-1.777779682,6.535896189,156.8840426,2.36E-12,1.22E-09
ENSMZEG00005018387,-6.829955251,1.46234305,151.2474952,3.52E-12,1.72E-09
ENSMZEG00005011605,-1.334345279,4.774646379,151.1693845,3.54E-12,1.72E-09
